no|title|text|senti_value
1322|website error merugikan konsumen|saat melakukan pembayaran via cicilan kartu kredit website error (setelah telp ke cs ternyata website maintenance) konfirmasi ke pihak bca bahwa transaksi berhasil dan menunggu tagihan dari pihak merchant (blibli) namun pagi hari ini kaget bahwa status pesanan di blibli di batalkan karena payment expired ? sudah menghubungi cs via telp akan di konfirmasikan dengan pihak bagian finance dan mendapat jawaban siang ini di tunggu untuk klarifikasi dari pihak blibli, di karenakan kesalahan terjadi dari pihak blibli (website error setelah melakukan pembayaran)|1
1323|pemula|Saya pengen tau caranya|1
1324|mengecewakan|pada tanggal 08 aug 2015 order bb dakota no order #4992869 sangat mengcewakan baru kali ini saya belanja online merasa tertipu barang yg di beli tidak dapat hidup di charge tanda silang muncul dilayar accesoris nya seperti barang kw soalnya kabel datanya belum apa apa udah berkarat , sepertinya blibli hanya mempercayakan quality control dan inspeksi barangnya kepada merchand , dan parahnya lagi proses pengembalian barang perlu waktu 18 hari kerja hampir satu bulan ditambah hari libur , itu pun kalau disetujui kalau tidak ? anggap saja dapat zonk. perusahaan online besar bisa sampai kecolongan quality control sangat menyeramkan belanja online disitus ini lagi , KAPOK not recommended|1
1327|Lamaaaaaaaaaaaaaaa|Setelah saya membaca forum ini saya juga mengalami permasalahan yang sama dengan banyak pelanggan blibli.com . Order id saya : 4433575, saya melakukan pemesanan dan pembayaran tgl 2 juli 2015, tapi dr tgl 6 juli sampai 27 juli 2015 status pesanan saya menunggu pengambilan kurir. Mungkin kurirnya cm 1 dan nganter ke seluruh indonesia ya?? Bayangkan menunggu pengambilan kurir sampai 21 hari alias 3 minggu, itu pun setelah bersabar dan 3 kali mengirim e-mail, kenapa e-mail karena no telp cs yg tertera tidak pernah bisa dihubungi, beruntunglah bagi bapak/ibu pelanggan yang msh bisa menghubungi lewat telp (sebagian yg saya baca di forum komplain lewat telp). Menurut saya sih percuma blibli.com pasang promo banyak yg katanya murah kamis ganteng, jumat keramat atau apalah, kl prosesnya sangat lambat, bukannya sebagai pedagang yg kita harapkan repeat buyer yg berkali2 transaksi apalagi kl online kepercayaan pelanggan sangat penting? Saya memang baru 2x bertransaksi di blibli.com tp ini akan jd yg terakhir. Dan lagi dengan banyaknya complain semacam ini dan dengan jawaban dr blibli.com yg rata2 sama yaitu pelanggan sudah d hubungi/d konfirmasi DAN TERIMA KASIH ATAS MASUKAN UNTUK MENINGKATKAN PELAYANAN BLIBLI.COM UNTUK MEMBERIKAN PELAYANAN YG LEBIH BAIK LAGI (kira2 gt kalimatnya kurang lebih) saya jadi ragu, complain2 pelanggan semacam itu benar2 di gubris oleh blibli.com atau tidak untuk perbaikan pelayanannya. Karena permasalahan yg sama terus terjadi.|1
1328|Pelanggan Kecewa Berat !!!|Saya beli Drone Bebop seharga 8jtaan pd tgl 23 Jul. Saya sengaja pakai kurir RPX PRIORITY seharga 95rb daripada pengiriman gratis yg di berikan. Karena saya biasa kirim RPX[inappropriate content removed]rata 2 hari sudah sampe tempat. Tapi ternyata sampe tanggal 27 Jul barang masih SAJA di berstatus TUNGGU PENGAMBILAN KURIR. Gara2 tunggu barang ini, saya terpaksa batalkan pesawat saya karena alamat tujuan itu adalah vila sewaan. Ini pertama kali nya saya terkecoh online shopping. Semoga pengembalian uang saya bisa cepat dilakukan dan tidak lagi berstatus TUNGGU PENGAMBILAN KURIR BANK. Untuk Blibli, tolong tingkatkan kepercayaan pelanggan seperti online shopping yg lain. Thanks.|1
1329|Lumayan Mengecewakan...|"Sy pelanggan dengan ID 4724824, sy order dari tgl 27 Juli 2015 . Ada 3 item yg sy beli wktu itu namun 2 item nya sudah tiba di saya. Maslahnya dsni ada 1 item yg sy cek statusnya masih menunggu pengambilan kurir yaitu BATISTE DRY SHAMPOO. Karena item tsb spertinya tdk ada progress status brg nya jadi sy terus menanyakan hal tsb ke CS nya pihak blibli.com dan sdh ksekian kali sy mnelepon ke CS nya. Kesabaran sy sdh mlai habis jdi trakhir sy tlp lg CS nya sy lgsg minta REFUND ajah utk brg tsb dan CS nya pun sdh mengiyakan bsa di REFUND namun katanya hrs berubah status trlebih dahulu menjadi ""PESANAN DIBATALKAN"" dan utk perubahan status tsb hrs mnunggu 2 hari utk berubah status item kmudian baru proses refund nya dilakukan dan saya di suruh tunggu lagi 1 minggu utk proses refundnya!! DAN SAMPAI SAAT INI SY CEK STATUS ITEM SAYA MSH ""MENUNGGU PENGAMBILAN KURIR""!!Blm lagi pelayanan CS nya yg wkt itu krg ramah. Sygnya sy lpa nma CS nya... Kyaknya utk next time hrs sy ingat nma CS yg melayani. SGGUH SANGAT MENGECEWAKAN! Tidak ada kepastian utk di refund. Jadi mohon pihak blibli.com utk tindak lanjut nya SECEPATNYA. Dan mohon diperhatikan 1 hal bahwa jika item stock nya habis tlong jgn di taruh status nya READY STOCK. Karena itu membuat customer hrs menunggu lma smpai brg tersedia dan akhirnya melewati estimasi yang ditentukan dan dijanjikan pihak blibli kepasa customer. mohon tindak lanjutnya dan Utk menjadi perhatian... Terima Kasih"|2
1330|Lemot|Saya customer blibli NO. PESANAN: 5061919 TANGGAL 12 Aug 2015 pk. 09:27, pesanan langsung sy bayar via sms banking dan langsung konfirmasi pembayaran juga. Lama verifikasi pembayaran 24 jam baru jam 09.11 esok harinya barang pesanan diproses, sekarang lagi nunggu diambil kurir, lemot banget. Di toko lain verifikasi pembayaran setelah konfirmasi pembayaran bisa dalam bbrp jam saja bahkan bisa dalam jam yang sama, barang bisa dikirim dalam hari yang sama kalau ordernya pagi hari. Mohon proses pesanan bisa lebih dipercepat|2
1331|kepercayaan yg hilang...|"Pengalaman belanja online pertama yg sangat mengecewakan. Bulan lalu saya beli barang di toko blibli, saya beli iphone 5S 16 GB gold. Saya percaya toko tersebut dapat memberikan produk yg bagus dan pasti tidak abal2/asal2an. Saya beli iphone tersebut dengan harga yg relatif tinggi, karna saya percaya dengan harga tinggi pasti kualitas bagus dan tidak tertipu. Tapi kenyatannya barang bener2 buruk bahkan sangat buruk. Saya membeli melalui kartu kredit mandiri cicilan 0%. Yah saya terima memang lama proses menggunakan kartu kredit krn harus ada transaksi pendebitan dari bank terkait. Setelah kurang lebih 1 minggu lebih barangpun datang. Kondisi bukan barang baru ternyata barang rekondisi (refurbish) sedangkan saya membeli bukan barang refurbish tapi barang baru yg kualitas bagus, karna saya sudah tau barang refurbish itu seperti apa. Dan akhirnya baru 3 hari saya pakai bener2 baru ketauan barang bekas yg rusak parah. Ada stiker barang bekas service, Tombol on/off tidak berfungsi, volume tidak berfungsi, tombol silent (sebelah kiri atas) juga rusak, dan pakai kartu tidak bisa menerima signal. Sampai 5 kali saya ganti kartu di coba berbagai provider tidak bisa juga. Dan akhirnya saya datang ke toko garansi platinum tepatnya di ruko roxy, tadinya niat mau di service saja tapi saya fikir berulang ulang kali, walaupun akan diganti dengan yg baru tidak akan menjamin barang itu bagus. Dan akhirnya saya memutuskan untuk minta refund. Semoga proses refund ini tidak memakan waktu yg lama. Terima kasih blibli atas pengalamannya. ""Jagalah kepercayaan pelanggan"". Terima kasih :) Yg masih blm percaya bisa hubungi saya di nmr 082114778539 (Mutiara, Jakarta). #berbagipengalamanbelanjaonline"|1
1332|RPX TIDAK BERTANGGUNG JAWAB!|"(15 Sept 2015 - dini hari) Saya order barang di blibli.com, dengan membayar kurir sktr 59.500 dengan RPX Prioriy Package. Sebagai pembeli tentunya pilih kurir dengan harga paling mahal dengan harapan barang bisa cepat sampainya. Selesai proses pembayaran, estimasi pengiriman 15-21 Sept 2015. Pas siangnya, saya cek akun blibli saya, keterangannya barang sudah di proses oleh seller & siap dijemput kurir jam 13.15. Sampai malam saya coba update, status masih belum berubah. Dalam 1 hari itu saya berkali-kali menghubungi CS blibli.com untuk cepat di proses. Tapi beberapa orang CS cuma bisa kasih jawaban, ""baik bu, akan segera kami buatkan laporannya ke bagian logistik kami"". Teeettt..!! (16 Sept 2015 - Pagi sampe Malem), Status masih sama, saya kontak CS blibli lagi, sedikit ada kemajuan krn saya baru tau ternyata seller nya dari Jogja. Ok, mgkn Jogja-Jkt butuh proses sktr 2hr. (17 Sept 2015 - Siang sampe Sore), Status masih belom berubah! Apaan sih ini maksudnya. Setau saya kebiasaan pake kurir ""sebelah"" mereka ada penjemputan barang setiap sore/malem ke masing-masing seller, atau kota. Kok pake RPX malah tetep nunggu penjemputan kurir? Seminggu sekali aja apa pihak RPX ambil paket dari seluruh indonesia? ANEH...!! Sorenya sy dapet telp dari pihak blibli.com (Bp. Justin) yang menerangkan kalo barang akan sampai sore/malam ini di JKT, akan mengusahakan juga barang sampe di esok harinya sebelum jam 12. (18 Sept 2015 - Pagi sampe siang), Pihak RPX menelp kalo kurir baru bisa mengantarkan barang saya jam 2 siang. Krn kurir masih ada di Kasablanka. Saya ajukan gojek yg akan ambil barangnya, tapi disuruh oleh pihak RPX ambil ke Pondok Pinang. Which is, kantor RPX dan rumah saya cuma 6km! Jadi yang bikin bingung : 1. Kalo dianter kurir RPX sampe rmh jam 2 krn kurir dari kasablanka harus keliling dulu; 2. Kalo mau ambil pake gojek, bs ambil ke Pondok Pinang karna barang ada di Pondok Pinang. Ok ok, jadi kurir & barang berjauhan ya? Kurir RPX cuma seorang ajah? Ga ada pembagian wilayah pusat dengan selatan ya? Akhirnya! Hari ini barang saya akan diambil oleh supir saya. Semoga barangnya selamat sampai di tangan saya & sesuai dengan deskripsi tokonya. Terima kasih loh blibli.com & RPX PRIORITY PACKAGE. Mgkn pihak kurir harus ngerti banget apa itu artinya PRIORITY ya...."|1
1334|verifikasi pembayaran lama...???|Cuman gue.. ato emang verifikasinya lama...?? Udah hampir 24 jam masih verifikasi.....|2
1338|Beli xiaomi mi4i|Dear mimin blibli.com Sebln yg lalu sy ada belu xiaomi mi4i di blibli.com. tetapi brg yg dtg tdk sesuai dgn spek yg ada. Tertulis brg nya wcdma, tetapi yg datang justru tcdma yg nitabene hanya bs d pakai di china daratan. Nomor Pesanan : 5030783 Tanggal Pemesanan : 10/08/2015 21:42 Help, sy mau retur neh brg. St merasa di kibulin... Thanks for respone|1
1345|gak dua kali deh pakai bli bli|saya sudah melakukan pembayaran sejak 3 juli 2015 untuk pembelian beberapa barang dgn nomor pesanan 4428883 .hingga sekarang tanggal 13 agustus 2015 barang tidak muncul dan tidak ada kejelasan dari costumer service... sy tidak tahu harus menunggu brp lama lagi.|1
1348|Sangat kecewa|Sekitar dua minggu lalu saya pesan sepatu dari blibli, iseng coba website belanja online. Barang saya pesan hari senin, baru diproses besok, dikonfirmasi besoknya, tunggu pesanan kurir besoknya, dan baru sampai di rumah hari Jumat. Baru pesannya saja sudah dapat pengalaman buruk. Tapi belum sampai di situ saja, barang yang sudah saya tunggu selama 4 hari, yang harusnya saya pakai hari Jumat untuk acara, ternyata jauh dari perkiraan. Saya masih bisa paham kalau bahan yang digunakan pada sepatu bukan kulit asli karena harganya yang menurut saya relatif murah untuk barang asli, tapi yang saya dapat adalah barang yang saama sekali berbeda dari yang diiklankan, tidak ada persamaan sedikitpun dengan apa yang ada di gambar produk, sangat mengecewakan karena merasa sudah tertipu. Tidak heran mereka memberi voucher belanja 100 ribu kepada pendaftar baru, karena barang yang saya beli seharga 300 ribuan mungkin hanya berharga 50 ribu, dan tidak menutup kemungkinan mereka dapat meraup untung lebih besar untuk barang yang lebih mahal. Barang akan saya beri untuk pemulung yang lewat di depan rumah, dan saya sangat tidak merekomendasikan website Blibli sebagai sarana belanja online.|1
1349|mengecewakan|saya sangat kecewa dengan pelayanan dan produk yang diberikan oleh pihak blibli,com. saya melakukan pembelian iphone5 black 32gb dengan nomor pesanan 4885816. dimana rasa kecewa saya ini dikarenakan barang yang saya pesan sampai ketangan saya lewat dari waktu estimasi pengiriman lalu produk yang saya terima dalam keadaan rusak tidak bisa hidup sama sekali. saya sangat kecewa dengan perusahaan niaga sebesar ini... sudah menunggu lama dan produk rusak !!!|1
1353|Gak jelas|Tolong konfrimasi pesanan saya segera no 4149426 karena d cek pesanan tertulis menunggu pembayaran sedangkan saya telpon ke mandiri kartu kresit pesanan gagal|1
1357|PENGIRIMAN LAMA|saya pesan note 5 dgn no order 11000545252 katanya tgl 11 sdh d kirim resi di berikan tapi sampe skr blm tiba padahal dr tgl 14 barang sudah d surabayaaaaaa di mintakan resi jne asli ga di berikan gabsa d track resinya|1
1359|Permohonan beli iphone 4s kena tolak|pesanan iphone 4s dibatalkan, padahal saya sudah masukin kartu kredit, memang harus atas nama yang sama dengan pemilik kartu kredit?|1
1360|beli iphone 6 plus baru dapatnya bekasutha|Saya memesan iphone 6 plus 64 GB di blibli.com pada tanggal 9 Juli 2015, pada tanggal 13, barang tersebut tiba di rumah, namun saya kecewa, karena barang tersebut ternyata pre-owned dan statusnya locked, di belakang iphone tersebut ada tulisan pre owned, baterai tidak dijamin, tidak ada garansi manufaktur (padahal tertulis di web garansi international) dan mungkin ada cacat di body karena bukan barang baru (refurbished) kondisi dalam keadaan locked (gak bisa sim Indonesia) Saya sudah merefund ke kantor blibli.com sendiri, dalam hal pembayaran saya sempat minta cicilan 0%, ternyata begitu tagihan keluar, ternyata tagihan full, yg katanya harus saya talangi dulu biar gak kena late fee, ckck, kalo cicilan 0% 12 bulan setau saya yg di charge itu bulan pertama dulu deh, bagaimana ini??|1
1361|Pengirimaaaan yang sangaaat lambaaat.|saya bli HP samsung galaxy A3 dengan NO. PESANAN: 4983075 sejak tanggal 8 agustus sampai sekarang status masih menunggu kurir. sampai kapan saya harus menunggu? pertama kali beli barang di blibli.com tapi sayang langsung dibuat sangat kecewa. entah apa yang di alami sampai selambat ini. saya jadi tidak respek dengan blibli.com. terima kasih.|1
1362|Pelayanan buruk|Saya melakukan order dengan no pesanan 4960324 Apple iPhone 4 16 GB White Smartphone [Refurbish] barang sudah saya bayar sejak 6 agustus 2015 tapi sampai detik ini statusnya Menunggu Pengambilan kurir, gak jelas kapan akan dikirim. Tgl 11 saya tanya katanya akan dikirimkan tgl 12 tetapi setelah saya cek, statusnya tidak berubah juga. Saya tanya ke CS dan terbukti sekali kalau mereka menipu, CS memberikan keterangan bahwa ternyata merchantnya baru mengorder barang saya tgl 12. Ini terakhir kali saya jadi pelanggan di BliBli, sangat mengecewakan. Padahal di lapak lain maksimal 4 hari udah nyampe.|1
1363|Pelayanan belanja online terburuk di Blibli.com|"Saya sangat kecewa kepada Blibli.com karena saya baru saja memesan Macbook Air tipe MD760 13"" 2014. Respon konfirmasi email dari blibli sangat lama hanya untuk mengecek status ketersediaan barang yang akhirnya barang yg saya pesan pun juga tidak tersedia, baru dikabarkan selama 4 hari setelah saya mengkonfirmasi pembayaran. Permintaan maaf dengan memberikan kupon belanja 100rb pun tak ada gunanya dengan lamanya menunggu respon dari blibli. Tolong diperbaiki lagi pelayanannya! Apalagi saya masih harus menunggu pengembalian uang dari blibli selama 7-14 hari kerja :( lama sekali ! Ini pelayanan belanja online terburuk yang pernah saya alami dibanding pengalaman belanja online di situs lain."|1
1365|Pengiriman Lama Tidak Ada Kejelasan Sangat Mengecewakan|"Saya membeli iphone 5s 16 GB pada tanggal 5/8/2015 barang dijanjikan kirim tanggal 7/8/2015 nomor pesanan 4942299 . Setiap hari saya telpon, CS hanya menjawab formal ""barang masih ada di logistik mohon menunggu, nanti nomer resi jne akan dikirimkan ke email Bapak"" sampai saat ini barang saya belum sampai. Mohon konfirmasi nya, layanan tidak memuaskan hanya memberikan janji yang tidak pasti. Saya benar-benar kecewa dengan pelayanan blibli."|1
1366|Pengiriman sangat lambat & tidak jelasutha|Saya order Xiaomi Redmi 2 warna putih dengan nomor pesanan 4956690 dari tgl 6 Agustus dan sudah di konfirmasi pembayarannya besok harinya. Tapi kenyataannya sampai sekarang barang blm juga dikirim dan statusnya masih pesanan sedang di proses bukan menunggu pengambilan kurir, padahal estimasi pengiriman tinggal 1 hari lagi yaitu 13 agustus. Saya sudah 3x kontak dengan CS melalui live chat, tapi yang didapat hanya jawaban FORMALITAS saja seperti mohon menunggu sampai estimasi yg ditentukan, nanti akan dihubungi merchantnya, nanti akan dibantu follow up dan hasilnya NIHIL..statusnya masih pesanan sedang dalam proses dan tidak jelas..saya heran kenapa prosesnya lama sekali. saya baca review yg order diluar jabodetabek seperti Medan dan Manado cepat hanya 2-3 hari tapi kenapa saya yg di Bekasi lama sekali. Ini pengalaman pertama saya beli di blibli dan SANGAT MENGECEWAKAN, kapok saya belanja di blibli.|1
1367|Menunggu Proses|Waduh,, ternyata banyak juga yg komplain di blibli soal pelayanan juga kualitas produk yg tdk sesuai, hari ini (12/9) saya sudah transfer dan sedang menunggu proses,, tujuan kirim saya ke kota Garut,, saya ingin tau pelayanan blibli kepada saya, apakah lalai ?? Mudah mudahan blibli tdk mengecewakan saya sebagai member awal, klo misalnya sy mengalami hal yg tdk sesuai, Saya pasti KECEWA, saran Dr sy Tolong Cek dlu barang sblm kirim k costumer bagus tidaknya!!!!! Dan jgn mengirim barang rusak/BUTUT, THANKS No pesanan 11000585860|1
1368|Tidak profesional|Order dan pembayaran dari tgl. 02 Sept 2015 10:42 (9 hari yg. lalu), sampai sekarang barang BELUM DITERIMA dan status: MENUNGGU PENGAMBILAN KURIR sejak 03 Sept 2015 10:19 Sebagai toko online sebesar ini, bagaimana mungkin tidak ada Service Level yg. jelas, sungguh tidak profesional!!! Kalah jauh dengan toko online yg. sekelas, bahkan dengan toko online yg. lebih kecil.|1
1369|Pengiriman Lama|Saya melakukan pesanan tanggal 4 agustus dengan no order 4908627 sampe sekarang belum sampai juga, padahal waktu saya hubungi jumat kemarin dijanjikan paling telat sampainya hari senin tanggal 10 agustus. Saya hubungi lagi hari ini katanya sudah dikirim tapi pas saya telfon rpxnya katanya no resi tidak terdaftar. Gimanasih kecewa banget udah dijanjikan malah bohong bikin gondok|2
1370|Menunggu pengambilan kurir|Pesanan saya sebenarnya masih dalam batas waktu yang dijanjikan Blibli. Tapi waktu seminggu untuk pengiriman ke Jakarta, menurut saya terlalu lama. Sejak hari pertama beli lalu bayar, 6 Agustus, status sudah 'Menunggu Pengambilan Kurir' Sampai sekarang status tidak berubah. Saya coba Google : https://www.google.co.id/search?q=Menunggu+pengambilan+kurir Ternyata memang disini kekurangannya, hampir mayoritas yang komplain ke Blibli karena status ini. Masukan saja, semoga proses pengirimannya diperbaiki lagi, dan semoga pesanan saya lebih cepat sampai. Sebagai perbandingan, di hari yang sama saya melakukan transaksi juga di online shop sebelah, tanggal 7 Agustus, pesanan sudah sampai. Selain itu, komplain saya juga mengenai proses pembayaran di Blibli. Sebelum membeli ini, saya beberapa kali gagal transaksi lewat cc. Barang yang saya beli adalah promo, sehingga saya harus menunggu barang di autocancel (1 jam setelah order) untuk order lagi. Seharusnya ada fitur cancel pembelian, tanpa harus tunggu 1 jam.|1
1371|KURIRNYA KETIDURAN MUNGKIN|Saya melakukan pembelian jam tangan pada tanggal 5 lama sekali kalau tidak di follow up mgkin masi digudang. kebetulan saya ingin keluar kota di tanggal 10 untung tanggal 9 sudah sampai. tapi menurut saya untuk jarak jakarta-bekasi memakan waktu lebih dari 3 hari itu sangat lama. dan sampai sekarang setelah barang saya sampai, status pengiriman di akun saya masih saja melakukan pengambilan kurir. mohon ditingkatkan kualitas pengirimanya dan update pengiriman.|2
1373|lama pengiriman|"No pesanan 4877701 Laptop Asus pembelian 1-agustus & deadline delivery 10-agustus per-tanggal 6-agustus saya coba check status pesanan ternyata tidak ada perubahan sejak awal pembelian ""menunggu kurir"" saat itu saya langsung email ke customer service dan dijawab harap menunggu sesuai batas waktu maksimal yg dijanjikan 10-agustus. Saya heran krn berada di wilayah jakarta kenapa begitu lama hampir sama lamanya apabila kita beli dari onshop terbesar china. Dan sampai malam ini saya tulis status pesanan tidak ada progressnya. Cukup sekali saya tertipu"|1
1374|Kejelasan status yang tidak jelas|Pengalaman saya ternyata sama seperti yg lain ngorder tgl 16/8/15, saya sudah transfer tapi sampai sekarang belum ada kejelasan. Padahal batas waktu yg ditentukan dr blibli sudah lewat. Kapok jadinya.|2
1375|TIDAK ADA KEMAJUAN DARI PIHAK BLIBLI. UNTUK ATASI PERMASALAHAN|INI NOMER PESANAN SAYA (3977509) DANA refund saya saja sampai 2 bulan..merasa lelah dan rasa nya saya mengemis kepada pihak blibli.com untuk minta keterang nya gemana mau memuaskan blnja nya..terlalu banyak kecewa di bandingkan kelancaran untuk paket yang di terima.. saran saya kalau barang nya tidak ada jangan di pasang di iklan..dan jangan kasih BARANG REKONDISI buat konsumen. tingkatlah lebih baik lagi saya hampir mersa kapok untuk bnlja di sini..jadi meragukan..dgn respon piahk blibli yang lambat pengurusannya..sampai saya tunggu 2 buln dana refund saya dan akhir nya slsai TAPI saya tidak dapat keterangan brpa yang DI REFUND oleh pihak blibli.com yang berisi surat di email NOMINAL nya..malah bulan ini biling kartu kredit saya yang ke 3 keluar telah ada dana payment .. pengeluaran dana sekitar 2.5 lebih kurang lalu keterangan nya tidk ada dan di biling saya tidak ada nama refund dari pihak bli.com saya MEMINTA KE PADA BLIIBLI.COM untuk laporan NOMINAL DI EMAIL SAYA DANA YANG DI REFUND ITU BERAPA? karna saya tidak ada dapat angka di sana..cuma ada REFUND dari blibli.com TOLONG DI RESPON AGAR KEPERCAYAAN SAYA KEMBALI DI BLIBLI.COM untuk BELANJA TERIMA KASIH (FAST RESPON)|1
1377|Pelayanan lambat|Saya sudah memesan iphone saya sejak tgl 14 agustus dan sampai detik ini status pesanan saya menunggu pengambilan kurir padahal hari ini batas estimasi pengirimannya. mengecewakan sekali. kapok saya dengan BliBli. Saya juga dijanji akan dihubungi jam 11 tadi untuk diberikan informasi mengenai pesanan saya tapi sampai sekarang udah jam 1 gak ada informasi apa2, PENIPU|1
1378|Online Shop Yang Paling Lambat Pengirimannya|Pengalaman pertama beli barang di blibli.com sangat mengecewakan. Pengiriman barang sangat lama. Saya membeli kamera dengan nomor order 4963799 di blibli tanggal 6 agustus 2015 karena sedang ada promo. Setelah saya bayar saya menunggu 4 hari barang masih belum dikirimkan. Pernah tanya ke tokonya katanya tanggal 8 mau diambil kurirnya tp masih blm dikirim. Tanya blibli katanya tanggal 10 diambil kurir tp masih blm dikirim juga. Padahal jarak rumah saya ke toko merchant hanya sekitar 30 menit. Saya mau ambil langsung di toko tapi tidak boleh. Kamera ini seharusnya mau dibawa ke acara wisuda adik saya tapi sepertinya tidak akan sempat lg. Saya sangat tidak merekomendasikan blibli.com sebelum pelayanan diperbaiki. Pengalaman belanja online terburuk yang pernah saya rasakan.|1
1379|kecewa|saya bli barang di blibli tgl 3 sept sampai dengan sekarang tgl 9 september barang tak kunjung tiba, sebenarnya barang yang saya beli ada gak sich???pengalaman saya pembelian secara online di tempat lain prosesnya cepat sekali, saya bener bener kecewa sekali melakukan pembelian di blibli, dan ridak akan melakukan pembelian di blibli lagi, gak da progres nya, dari kemarin menunggu pengambilan kurir, masak sich sebegitu lamanya???wah payah juga dech, lain x mending saya beli di tempat lain saja|1
1380|Samsung Galaxy A8 Gold Tidak ada rumah SIM cardnya|Saya adalah pembeli Samsung Galaxy A8 dengan kode pesanan 11000547398. Saya melakukan pemesanan pada tanggal 4 September 2015. Pesanan saya sudah di terima pada tanggal 8 September 2015 oleh security rumah saya. Pada saat tanggal 9 September 2015 pagi saya buka bungkusnya dan ingin memasukkan SIM card, saya sangat kaget di unit Samsung tersebut tidak terdapat rumah SIM cardnya. Saat itu saya langsung menghubungi CS Blibli.com untuk komplain masalah tersebut. Saya sudah ikutin semua prosedurnya termasuk mengisi form barang rusak dan upload fotonya dan sekarang tinggal menunggu follow up dari pihak Blibli.com. Saya berharap follow up dari komplain saya ini tidak lama prosesnya.|1
1382|Barang Rusak Tidak Bisa Menyala Dan Tidak Bisa Dicharge|2 sept 2015 Saya beli hp ASUS ZENFONE 2 GOLD 4Gb RAM dengan nomor pesanan 11000537301. Barang diterima dengan packaging yang baik dan rapih, secara fisik tidak ada cacat. Namun, hp tersebut tidak dapat dinyalakan dan tidak bisa di charge. Mohon lebih diperhatikan lagi dari pihak blibli, jika memungkinkan barang tersebut di cek terlebih dahulu sebelum sampai ke tangan customer. Jujur saya baru pertamakali mencoba beli barang di blibli, dan saya merasa kecewa. Saya sudah menelpon customer care, katanya saya harus update data pengembalian produk di internet. Tetapi setelah saya coba ternyata tidak bisa, dikarenakan status pesanan saya itu masih menunggu kurir padahal sudah 3 hari yang lalu barang sampai. Semoga hal ini dapat menjadi masukan/kritikan yang akan membangun blibli menjadi lebih baik.|2
1383|Process Menunggu Pengambilan Kurir PELAN|"Saya membeli produk dari blibli.com sudah 3 hari masih tersangkut di ""Menunggu Pengambilan Kurir"". Sedangkan saya menggunakan jasa pengiriman JNE Regular di situs sebelah untuk beli accessoriesnya produk dari toko yang sama - hanya butuh 1 malam sudah terkirim. Padahal toko penjual dari kota yang sama dan jasa kurir nya sama. Kenapa bisa lama begitu ya?"|2
1384|iPhone 6 rusak kurang dari sebulan & unresolved|Suami saya membeli iPhone 6 128GB dari Blibli.com di akhir Juni kemarin sbg kejutan untuk saya. Stlh dipakai kurang dalam wkt sebulan, tiba2 WiFi tidak bisa menyala & saat saya matikan hp untuk mereset, ternyata malah tidak bisa menyala kembali. Reset factory setting melalui iTune jg tidak membantu. Stlh menghubungi CS bbrp kali, AKHIRNYA disarankan untuk dikirim kembali ke Blibli. Sampai saat ini, hp sudah dipegang merchant selama sebulan & tidak ada kabar dari Blibli kalau kita tidak menelepon. Tidak ada resolusi, tidak ada pemberitahuan brp lama lagi saya harus menunggu. Dipakai kurang dlm sebulan, diservis sudah sebulan, harga barang tidak murah, kejutan menjadi pahit. Sangat mengecewakan. Saya harap untuk diberi pengganti unit secepatnya!|1
1385|Xperia Z3+ Baru yang sudah RUSAK|Pada 24 Juli 2015 saya membeli Xperia Z3+ dengan no pemesanan 3608792 dan dibatalkan setelah itu diganti dengan no pemesanan 4813517, barang saya terima tanggal 30 Juli 2015, setelah saya buka dan saya coba ternyata hp yang saya terima slot sim1 tidak tedeteksi, saya komplain waktu itu karena tanggapan blibli terlalu lama akhirnya tanggal 31 Juli saya masukkan ke SCM Denpasar awalnya no IMEI ditolak tapi setelah diupdate no IMEI terdeteksi Tanggal 1 Agustus 2015 costumer service Blibli (SCB) menghubungi saya menanyakan tentang service hp tersebut, saya katakan sudah saya masukkan ke SCM Denpasar, dan kata SC Blibli akan bantu follow up dan selalu memberikan info tentang masalah service HP tersebut, sampai detik ini SC Blibli sama sekali tidak pernah menghubungi saya lagi... Kemarin tanggal 5 September 2015 saya telepon ke SCM Denpasar menanyakan perihal tentang HP tersebut ternyata harus ganti mesin dan sekarang dalam proses pemesanan mesin yang tidak tahu dipastikan sampai kapan indent nya, pihak SCM tidak mau mengganti unit yang baru...hanya bisa mengganti mesin... Saya binggung apa hp yang saya terima apakah rekondisi ato baru soalnya dr awal dipakai langsung slotnya tidak tedeteksi, dan kenapa tidak ditest terlebih dahulu di blibli nya...ini seperti membeli kucing dalam karung.. Padahal Harganya Tidak murah diatas 9 Juta, jadi harap berhati - hati dengan pengalaman saya...|2
1390|lamanya pengiriman barang|sudah 1 minggu sejak pemesanan tp status pesanan masih pemrosesan saja, mau sampai kapan barang akan bisa terkirim dan saya terima..|1
1391|""" PESAN BARANG 2 YANG DITERIMA 1"|Saya membeli barang RedPanda LiveUp 3165B Ungu Magnetic Disc Alat Olahraga jumlah barang 2 dengan NO. PESANAN: 11000499467 ..paket sudah saya terima hari ini..di bungkus paket tertulis jumlah pesanan 2 unit.. namun ketika saya buka paket yang saya terima cuma 1 ( unit ) saya harapkan konfirmasi dan penyelesaiannya dari blibli.com|2
